Open,High,Low,Close,Volume,Date
12.7,12.7,11.86,12.34,9220500,2013-05-30
12.02,12.2,11.82,12.1,8258600,2013-05-31
12.08,12.08,11.46,11.6,10041600,2013-06-03
11.6,11.7,9.99,10.3,20359200,2013-06-04
10.3,10.66,10.12,10.24,7369800,2013-06-05
10.2,10.6,9.98,10.1,7330300,2013-06-06
10.14,10.88,10.14,10.84,15263400,2013-06-07
11,11.58,11,11.58,7134400,2013-06-10
11.66,11.8,11.38,11.56,17410400,2013-06-11
11.36,11.36,10.3,10.42,3587800,2013-06-13
10.98,11,10.74,10.86,2612300,2013-06-14
10.86,10.9,10.56,10.88,6242300,2013-06-17
10.88,11,10.74,10.78,1929600,2013-06-18
10.8,10.8,10.64,10.68,946500,2013-06-19
10.62,10.62,10.28,10.3,5039600,2013-06-20
10,10.06,9.88,10.02,10499300,2013-06-21
9.95,10.02,9.1,9.14,10578600,2013-06-24
9.12,9.12,8.36,8.4,8223900,2013-06-25
8.99,9.1,8.47,8.58,13279900,2013-06-26
8.8,9.2,8.79,8.9,24108300,2013-06-27
9,9.11,8.99,9,44832700,2013-06-28
9,9.52,8.98,9.5,8944900,2013-07-01
9.6,9.96,9.55,9.6,12473600,2013-07-02
9.6,9.6,9.15,9.55,7152500,2013-07-03
9.66,10.1,9.6,9.93,15250300,2013-07-04
9.93,10.1,9.8,9.9,1338300,2013-07-05
9.9,9.9,9.28,9.6,6158700,2013-07-08
9.6,9.9,9.4,9.68,841300,2013-07-09
9.68,9.68,9.44,9.45,760000,2013-07-10
9.7,10.2,9.7,10,14280200,2013-07-11
10.1,10.6,10.1,10.46,22077300,2013-07-12
10.52,10.8,10.5,10.5,12158200,2013-07-15
10.7,10.78,10.36,10.56,12675000,2013-07-16
10.5,10.9,10.5,10.8,7906900,2013-07-17
10.88,11.38,10.86,11.36,18141200,2013-07-18
11.48,11.76,11.4,11.7,9682200,2013-07-19
11.7,12,11.7,11.9,11262600,2013-07-22
11.9,12,11.76,11.8,14478700,2013-07-23
11.88,11.88,11.62,11.74,5872700,2013-07-24
11.78,11.9,11.76,11.88,5280600,2013-07-25
11.9,11.94,11.7,11.88,5222400,2013-07-26
11.88,11.92,11.6,11.76,3390400,2013-07-29
11.8,11.9,11.7,11.8,4316000,2013-07-30
11.8,12,11.64,11.9,10615800,2013-07-31
11.9,12.04,11.82,11.84,6226000,2013-08-01
11.98,12,11.22,11.22,2427500,2013-08-02
11.22,11.22,10.7,10.8,1916900,2013-08-05
10.8,10.86,10.48,10.68,7378300,2013-08-06
10.7,10.82,10.54,10.68,2212800,2013-08-07
10.8,10.8,10.6,10.7,392100,2013-08-08
10.6,10.92,10.48,10.76,4808600,2013-08-12
10.8,11.3,10.8,11.06,3484400,2013-08-13
11.12,11.4,10.84,11.28,3322600,2013-08-14
11.2,11.52,10.98,11.5,3032500,2013-08-15
11.36,11.56,11.2,11.5,5549600,2013-08-16
11.2,11.2,10.7,10.8,9557400,2013-08-22
10.82,11.18,10.82,11.18,2843600,2013-08-23
11.26,11.26,10.6,10.8,1293400,2013-08-27
10.74,10.74,10,10.5,3283700,2013-08-28
10.6,10.88,10.54,10.88,1597100,2013-08-29
10.74,10.98,10.66,10.8,2462800,2013-08-30
10.88,11.1,10.64,10.66,3793000,2013-09-02
10.66,10.84,10.64,10.8,603600,2013-09-03
10.76,10.78,10.4,10.44,2791800,2013-09-04
10.48,10.76,10.36,10.74,3444200,2013-09-05
10.74,10.76,10.64,10.68,609700,2013-09-06
10.58,10.74,10.5,10.6,4964800,2013-09-09
10.8,11.22,10.74,11,12163800,2013-09-10
11.28,11.88,11.12,11.88,17329000,2013-09-11
12,12.34,11.8,12.3,28542700,2013-09-12
11.8,12.08,11.4,12.08,13916800,2013-09-13
12.04,12.16,11.72,11.9,8337900,2013-09-16
12.02,12.12,11.8,11.8,8982600,2013-09-17
11.8,11.8,11.24,11.24,9130100,2013-09-18
11.46,11.66,10.96,11.5,14693200,2013-09-19
11.54,11.68,10.8,10.8,31767500,2013-09-20
10.84,10.98,10.46,10.66,8815800,2013-09-23
10.66,10.76,10.5,10.6,14003900,2013-09-24
10.5,10.66,10.5,10.52,3379300,2013-09-25
10.46,10.46,10.22,10.26,9839000,2013-09-26
10.4,10.5,10.26,10.38,17416200,2013-09-27
10.38,10.38,10,10.02,7361800,2013-09-30
10.02,10.34,10.02,10.2,10022500,2013-10-01
10.46,10.54,10.3,10.5,3908400,2013-10-02
10.52,10.78,10.28,10.76,6965100,2013-10-03
10.6,10.78,10.52,10.6,2390900,2013-10-04
10.6,10.74,10.6,10.68,517100,2013-10-07
10.68,11.1,10.56,10.92,8537600,2013-10-08
10.92,11.12,10.64,10.66,7341900,2013-10-09
10.7,10.9,10.66,10.66,2861100,2013-10-10
10.84,10.98,10.6,10.6,4226900,2013-10-11
10.6,10.82,10.58,10.6,1642900,2013-10-14
10.58,10.68,10.46,10.5,7021000,2013-10-16
10.62,10.7,10.38,10.48,3735800,2013-10-17
10.5,10.64,10.48,10.5,1658100,2013-10-18
10.5,10.6,10.36,10.5,1461700,2013-10-21
10.6,10.62,10.4,10.42,2238300,2013-10-22
10.5,10.7,10.44,10.46,4695200,2013-10-23
10.48,10.6,10.42,10.42,1383700,2013-10-24
10.38,10.38,10.22,10.22,2209900,2013-10-25
10.22,10.44,10.06,10.1,5394500,2013-10-29
10.18,10.3,10.06,10.06,11589300,2013-10-30
10.14,10.4,10.08,10.22,6505200,2013-10-31
10.3,10.4,10.12,10.12,4517800,2013-11-04
10.24,10.3,9.7,9.7,10334900,2013-11-05
9.72,10.08,9.72,9.97,9087700,2013-11-06
10.06,10.06,9.96,9.99,2075400,2013-11-07
9.96,9.97,9.8,9.93,1349300,2013-11-08
9.95,9.95,9.65,9.72,2143400,2013-11-11
9.74,10,9.74,10,3532300,2013-11-12
10.04,10.2,9.8,10.2,2590000,2013-11-13
10.36,10.5,10.34,10.4,4966300,2013-11-14
10.42,10.42,10.26,10.28,2468700,2013-11-15
10.38,10.38,10.18,10.3,2280400,2013-11-18
10.32,10.42,10.2,10.3,8283800,2013-11-19
10.28,10.3,9.8,9.9,6525500,2013-11-20
9.9,9.9,9.65,9.86,906000,2013-11-21
9.82,10,9.78,10,1407800,2013-11-22
9.7,9.9,9.7,9.88,257900,2013-11-25
9.8,9.9,9.61,9.9,4719900,2013-11-26
9.89,9.9,9.85,9.89,2982500,2013-11-27
9.8,10,9.8,9.99,2646300,2013-11-28
9.95,10.06,9.8,9.8,4023200,2013-11-29
9.8,9.93,9.8,9.91,325800,2013-12-02
10.06,10.06,9.78,9.78,3072400,2013-12-03
9.82,9.86,9.7,9.71,3476400,2013-12-04
9.84,9.88,9.8,9.87,2741300,2013-12-05
9.86,9.86,9.68,9.68,1060300,2013-12-06
9.71,9.71,9.26,9.39,3890500,2013-12-09
9.39,9.39,9.1,9.1,3939400,2013-12-10
9.2,9.2,8.73,8.75,5136100,2013-12-11
8.75,8.75,8.48,8.5,8525300,2013-12-12
8.5,8.5,8.34,8.4,4072400,2013-12-13
8.5,8.64,8.28,8.3,6239900,2013-12-16
8.34,8.55,8.29,8.31,9646800,2013-12-17
8.43,8.8,8.32,8.62,2213800,2013-12-18
8.9,9.3,8.75,8.92,6049800,2013-12-19
9.01,9.07,8.52,8.54,1952000,2013-12-20
8.65,8.74,8.43,8.5,5614000,2013-12-23
8.55,8.61,8.55,8.6,3774700,2013-12-26
8.68,8.76,8.6,8.61,3828700,2013-12-27
8.6,8.8,8.6,8.75,605300,2014-01-02
8.8,9.1,8.8,9,8091100,2014-01-03
9.05,9.07,8.86,9,12653200,2014-01-06
9.05,9.2,8.94,9,2019000,2014-01-07
9,9.04,9,9.02,1960900,2014-01-08
9,9.03,8.96,9.01,8512100,2014-01-09
9.01,9.01,8.75,8.75,1272300,2014-01-10
8.94,9.08,8.75,8.75,1734600,2014-01-13
8.8,9,8.7,9,1069900,2014-01-14
8.9,9,8.8,8.98,1671900,2014-01-15
8.5,8.96,8.5,8.78,365700,2014-01-17
8.78,8.84,8.71,8.8,2205300,2014-01-20
8.8,8.8,8.69,8.7,1044500,2014-01-21
8.7,10.3,8.65,8.96,6052300,2014-01-22
8.97,9.05,8.8,8.95,1692300,2014-01-23
8.91,9.02,8.8,8.93,2196700,2014-01-24
8.83,9,8.75,8.82,3249100,2014-01-27
8.82,9,8.82,8.87,2330500,2014-01-28
8.9,8.98,8.81,8.82,1196900,2014-01-29
8.8,8.89,8.8,8.8,720000,2014-01-30
8.8,8.8,8.7,8.77,3606700,2014-02-03
8.7,8.7,8.55,8.55,1619500,2014-02-04
8.58,8.6,8.52,8.52,2243700,2014-02-05
8.52,8.59,8.47,8.5,1291900,2014-02-06
8.55,8.6,8.48,8.49,1168500,2014-02-07
8.49,8.6,8.45,8.45,12528600,2014-02-10
8.6,8.64,8.56,8.6,2898500,2014-02-11
8.62,8.79,8.45,8.48,2051200,2014-02-12
8.48,8.5,8.39,8.39,866400,2014-02-13
8.4,8.42,8.35,8.35,1322200,2014-02-14
8.35,8.4,8.28,8.35,4815100,2014-02-17
8.35,8.54,8.3,8.42,2101900,2014-02-18
8.5,8.65,8.45,8.6,4143300,2014-02-19
8.6,8.94,8.55,8.83,8429500,2014-02-20
8.89,8.89,8.6,8.79,1692600,2014-02-21
8.79,8.85,8.6,8.71,2651500,2014-02-24
8.71,8.8,8.58,8.58,1030400,2014-02-25
8.58,8.72,8.56,8.72,2706600,2014-02-26
8.71,8.85,8.65,8.69,1734200,2014-02-27
8.71,9.1,8.61,9.08,7285500,2014-02-28
9.06,9.07,8.75,8.96,2312300,2014-03-03
8.95,8.95,8.75,8.82,1673600,2014-03-04
8.95,9.3,8.9,9.14,10893400,2014-03-05
9.19,9.36,9.1,9.25,3764800,2014-03-06
9.27,9.85,9.27,9.7,12185500,2014-03-07
9.7,9.9,9.6,9.7,3934800,2014-03-10
